"code","id","parent_id/id","type","user_type/id","name","reconcile"
"638000","k638","c_63","other","account.data_account_type_asset","Druga biološka sredstva, ki so zaloge","True"
"639000","k639","c_63","other","account.data_account_type_asset","Odmiki od cen proizvodov","True"
"65","c_65","unsold","view","account.data_account_type_view","Obračun nabave blaga","False"
"650000","k650","c_65","other","account.data_account_type_asset","Vrednost blaga po obračunih dobaviteljev","True"
"651000","k651","c_65","other","account.data_account_type_asset","Odvisni stroški nabave blaga","True"
"652000","k652","c_65","other","account.data_account_type_asset","Carina in druge uvozne davščine od blaga","True"
"653000","k653","c_65","other","account.data_account_type_asset","DDV in druge davščine od blaga","True"
"659000","k659","c_65","other","account.data_account_type_asset","Obračun nabave blaga","True"
"66","c_66","unsold","view","account.data_account_type_view","Zaloge blaga","False"
"660000","k660","c_66","other","account.data_account_type_asset","Blago v lastnem skladišču","True"
"661000","k661","c_66","other","account.data_account_type_asset","Blago v tujem skladišču","True"
"662000","k662","c_66","other","account.data_account_type_asset","Blago na poti","True"
"663000","k663","c_66","other","account.data_account_type_asset","Blago v lastni prodajalni","True"
"664000","k664","c_66","other","account.data_account_type_asset","Ddv, vračunan v zalogah blaga","True"
"669000","k669","c_66","other","account.data_account_type_asset","Vračunana razlika v cenah zalog blaga","True"
"67","c_67","unsold","view","account.data_account_type_view","Nekratkoročna sredstva (skupine za odtujitev) za prodajo","False"
"670000","k670","c_67","other","account.data_account_type_asset","Opredmetena osnovna sredstva, namenjena prodaji","True"
"671000","k671","c_67","other","account.data_account_type_asset","Naložbene nepremičnine, vrednotene po modelu nabavne vrednosti, namenjene prodaji","True"
"672000","k672","c_67","other","account.data_account_type_asset","Druga nekratkoročna sredstva, namenjena prodaji","True"
"673000","k673","c_67","other","account.data_account_type_asset","Sredstva dela denar ustvarjajoče enote, namenjena prodaji","True"
"674000","k674","c_67","other","account.data_account_type_asset","Sredstva denar ustvarjajoče enote, namenjena prodaji","True"
"7","delta","profit","view","account.data_account_type_view","ODHODKI IN PRIHODKI","False"
"70","c_70","delta","view","account.data_account_type_view","Poslovni odhodki (i. Različica izkaza poslovnega izida)","False"
"700000","k700","c_70","other","account.data_account_type_expense","Vrednost prodanih poslovnih učinkov","True"
"701000","k701","c_70","other","account.data_account_type_expense","Vrednost usredstvenih lastnih proizvodov in storitev","True"
"702000","k702","c_70","other","account.data_account_type_expense","Nabavna vrednost prodanih materiala in blaga","True"
"703000","k703","c_70","other","account.data_account_type_expense","Drugi poslovni odhodki","True"
"704000","k704","c_70","other","account.data_account_type_expense","Odhodki iz vrednotenja bioloških sredstev in pospravitve kmetijskih pridelkov","True"
"71","c_71","delta","view","account.data_account_type_view","Poslovni odhodki (ii. Različica izkaza poslovnega izida)","False"
"710000","k710","c_71","other","account.data_account_type_expense","Vrednost prodanih poslovnih učinkov","True"
"711000","k711","c_71","other","account.data_account_type_expense","Nabavna vrednost prodanih materiala in blaga","True"
"712000","k712","c_71","other","account.data_account_type_expense","Stroški prodajanja","True"
"713000","k713","c_71","other","account.data_account_type_expense","Stroški splošnih dejavnosti (nabave in uprave)","True"
"714000","k714","c_71","other","account.data_account_type_expense","Drugi stroški, ki se ne zadržujejo v zalogah","True"
"72","c_72","delta","view","account.data_account_type_view","Prevrednotovalni poslovni odhodki","False"
"720000","k720","c_72","other","account.data_account_type_expense","Prevrednotovalni poslovni odhodki v zvezi z neopredmetenimi sredstvi, opredmetenimi osnovnimi sredstvi in naložbenimi nepremičninami","True"
"721000","k721","c_72","other","account.data_account_type_expense","Prevrednotovalni poslovni odhodki v zvezi z zalogami","True"
"722000","k722","c_72","other","account.data_account_type_expense","Prevrednotovalni poslovni odhodki kot posledica prevrednotenja zaradi oslabitve v zvezi s poslovnimi terjatvami","True"
"723000","k723","c_72","other","account.data_account_type_expense","Prevrednotovalni poslovni odhodki kot posledica odpisov v zvezi s poslovnimi terjatvami","True"
"724000","k724","c_72","other","account.data_account_type_expense","Drugi prevrednotovalni poslovni odhodki v zvezi s kratkoročnimi sredstvi, razen s finančnimi naložbami","True"
"725000","k725","c_72","other","account.data_account_type_expense","Prevrednotovalni poslovni odhodki v zvezi s stroški dela","True"
"74","c_74","delta","view","account.data_account_type_view","Finančni odhodki iz finančnih naložb","False"
"740000","k740","c_74","other","account.data_account_type_expense","Odhodki iz posojil, prejetih od družb v skupini","True"
"741000","k741","c_74","other","account.data_account_type_expense","Odhodki iz posojil, prejetih od bank","True"
"742000","k742","c_74","other","account.data_account_type_expense","Odhodki iz izdanih obveznic","True"
"743000","k743","c_74","other","account.data_account_type_expense","Odhodki iz drugih finančnih obveznosti","True"
"744000","k744","c_74","other","account.data_account_type_expense","Odhodki iz poslovnih obveznosti do družb v skupini","True"
"745000","k745","c_74","other","account.data_account_type_expense","Odhodki iz obveznosti do dobaviteljev in meničnih obveznosti","True"
"746000","k746","c_74","other","account.data_account_type_expense","Odhodki iz drugih poslovnih obveznosti","True"
"747000","k747","c_74","other","account.data_account_type_expense","Odhodki iz sredstev, razporejenih po pošteni vrednosti prek poslovnega izida","True"
"748000","k748","c_74","other","account.data_account_type_expense","Odhodki iz oslabitve finančnih naložb","True"
"749000","k749","c_74","other","account.data_account_type_expense","Odhodki iz odprave pripoznanja finančnih naložb","True"
"75","c_75","delta","view","account.data_account_type_view","Drugi finančni odhodki in ostali odhodki","False"
"750000","k750","c_75","other","account.data_account_type_expense","Odhodki iz vrednotenja naložbenih nepremičnin po modelu poštene vrednosti","True"
"751000","k751","c_75","other","account.data_account_type_expense","Odhodki iz odtujitve naložbenih nepremičnin, izmerjenih po pošteni vrednosti","True"
"752000","k752","c_75","other","account.data_account_type_expense","Denarne kazni, ki niso povezane s poslovnimi učinki","True"
"753000","k753","c_75","other","account.data_account_type_expense","Odškodnine, ki niso povezane s poslovnimi učinki","True"
"754000","k754","c_75","other","account.data_account_type_expense","Donacije","True"
"755000","k755","c_75","other","account.data_account_type_expense","Subvencije, dotacije in podobni odhodki, ki niso povezani s poslovnimi učinki","True"
"758000","k758","c_75","other","account.data_account_type_expense","Negativne evrske izravnave","True"
"759000","k759","c_75","other","account.data_account_type_expense","Ostali odhodki, ki niso povezane s poslovnimi učinki","True"
"76","c_76","delta","view","account.data_account_type_view","Poslovni prihodki","False"
"760000","k760","c_76","other","account.data_account_type_income","Prihodki od prodaje proizvodov in storitev na domačem trgu","True"
"761000","k761","c_76","other","account.data_account_type_income","Prihodki od prodaje proizvodov in storitev na tujem trgu","True"
"762000","k762","c_76","other","account.data_account_type_income","Prihodki od prodaje trgovskega blaga in materiala na domačem trgu","True"
"763000","k763","c_76","other","account.data_account_type_income","Prihodki od prodaje trgovskega blaga in materiala na tujem trgu","True"
"764000","k764","c_76","other","account.data_account_type_income","Prihodki iz vrednotenja bioloških sredstev in pospravitve kmetijskih pridelkov","True"
"765000","k765","c_76","other","account.data_account_type_income","Prihodki od najemnin","True"
"766000","k766","c_76","other","account.data_account_type_income","Prihodki od odprave rezervacij","True"
"767000","k767","c_76","other","account.data_account_type_income","Prihodki od poslovnih združitev (presežek iz prevrednotenja - slabo ime)","True"
"768000","k768","c_76","other","account.data_account_type_income","Drugi prihodki, povezani s poslovnimi učinki (subvencije, dotacije, regresi, kompenzacije, premije ...)","True"
"769000","k769","c_76","other","account.data_account_type_income","Prevrednotovalni poslovni prihodki","True"
"77","c_77","delta","view","account.data_account_type_view","Finančni prihodki iz finančnih naložb","False"
"770000","k770","c_77","other","account.data_account_type_income","Finančni prihodki iz deležev v družbah v skupini","True"
"771000","k771","c_77","other","account.data_account_type_income","Finančni prihodki iz deležev v pridruženih družbah in skupaj obvladovanih družbah","True"
"772000","k772","c_77","other","account.data_account_type_income","Finančni prihodki iz deležev v drugih družbah","True"
"773000","k773","c_77","other","account.data_account_type_income","Finančni prihodki iz drugih naložb","True"
"774000","k774","c_77","other","account.data_account_type_income","Finančni prihodki iz posojil, danih družbam v skupini","True"
"775000","k775","c_77","other","account.data_account_type_income","Finančni prihodki iz posojil, danih drugim (tudi od depozitov)","True"
"776000","k776","c_77","other","account.data_account_type_income","Finančni prihodki iz poslovnih terjatev do družb v skupini","True"
"777000","k777","c_77","other","account.data_account_type_income","Finančni prihodki iz poslovnih terjatev do drugih","True"
"778000","k778","c_77","other","account.data_account_type_income","Finančni prihodki iz finančnih sredstev, razporejenih po pošteni vrednosti prek poslovnega izida","True"
"78","c_78","delta","view","account.data_account_type_view","Drugi finančni prihodki in ostali prihodki","False"
"780000","k780","c_78","other","account.data_account_type_income","Prihodki iz vrednotenja naložbenih nepremičnin po pošteni vrednosti","True"
"781000","k781","c_78","other","account.data_account_type_income","Prihodki iz odtujitve naložbenih nepremičnin, izmerjenih po pošteni vrednosti","True"
"785000","k785","c_78","other","account.data_account_type_income","Subvencije, dotacije in podobni prihodki, ki niso povezani s poslovnimi učinki","True"
"786000","k786","c_78","other","account.data_account_type_income","Prejete odškodnine","True"
"787000","k787","c_78","other","account.data_account_type_income","Prejete kazni","True"
"789000","k789","c_78","other","account.data_account_type_income","Ostali prihodki","True"
"79","c_79","delta","view","account.data_account_type_view","Usredstveni lastni proizvodi in lastne storitve","False"
"8","result","profit","view","account.data_account_type_view","POSLOVNI IZID","False"
"80","c_80","result","view","account.data_account_type_view","Dobiček ali izguba pred obdavčitvijo","False"
"800000","k800","c_80","other","account.data_account_type_liability","Dobiček ali izguba pred obdavčitvijo","True"
"81","c_81","result","view","account.data_account_type_view","Razporeditev dobička","False"
"810000","k810","c_81","other","account.data_account_type_liability","Davek od dohodka","True"
"812000","k812","c_81","other","account.data_account_type_liability","Drugi davki, ki niso izkazani v drugih postavkah","True"
"813000","k813","c_81","other","account.data_account_type_liability","Prihodki (odhodki) iz naslova odloženega davka","True"
"815000","k815","c_81","other","account.data_account_type_liability","Čisti dobiček poslovnega leta","True"
"82","c_82","result","view","account.data_account_type_view","Razporeditev čistega dobička poslovnega leta","False"
"820000","k820","c_82","other","account.data_account_type_liability","Čisti dobiček za kritje prenesenih izgub","True"
"821000","k821","c_82","other","account.data_account_type_liability","Čisti dobiček za oblikovanje zakonskih rezerv","True"
"822000","k822","c_82","other","account.data_account_type_liability","Čisti dobiček za oblikovanje rezerv za lastne delnice oziroma deleže","True"
"823000","k823","c_82","other","account.data_account_type_liability","Čisti dobiček za oblikovanje statutarnih rezerv","True"
"824000","k824","c_82","other","account.data_account_type_liability","Čisti dobiček za druge rezerve iz dobička","True"
"829000","k829","c_82","other","account.data_account_type_liability","Prenos neuporabljenega dela čistega dobička poslovnega leta","True"
"89","c_89","result","view","account.data_account_type_view","Izguba in prenos izgube","False"
"890000","k890","c_89","other","account.data_account_type_liability","Izguba tekočega leta","True"
"899000","k899","c_89","other","account.data_account_type_liability","Prenos izgube tekočega leta","True"
"9","capital","balance","view","account.data_account_type_view","Kapital, dolgoročne obveznosti (dolgovi) in dolgoročne rezervacije","False"
"90","c_90","capital","view","account.data_account_type_view","Vpoklicani kapital","False"
"900000","k900","c_90","other","account.data_account_type_liability","Osnovni delniški kapital - navadne delnice","True"
"901000","k901","c_90","other","account.data_account_type_liability","Osnovni delniški kapital - prednostne delnice","True"
"902000","k902","c_90","other","account.data_account_type_liability","Osnovni kapital - kapitalski deleži","True"
"903000","k903","c_90","other","account.data_account_type_liability","Osnovni kapital - kapitalska vloga","True"
"909000","k909","c_90","other","account.data_account_type_liability","Nevpoklicani kapital (odbitna postavka)","True"
"91","c_91","capital","view","account.data_account_type_view","Kapitalske rezerve","False"
"910000","k910","c_91","other","account.data_account_type_liability","Vplačila nad najmanjšimi emisijskimi zneski delnic oziroma deležev (vplačani presežek kapitala)","True"
"911000","k911","c_91","other","account.data_account_type_liability","Vplačila nad knjigovodsko vrednostjo pri odtujitvi začasno odkupljenih lastnih delnic oziroma deležev","True"
"912000","k912","c_91","other","account.data_account_type_liability","Vplačila nad najmanjšim emisijskim zneskom kapitala, pridobljena z izdajo zamenljivih obveznic in obveznic z delniško nakupno opcijo","True"
"913000","k913","c_91","other","account.data_account_type_liability","Vplačila za pridobitev dodatnih pravic iz delnic oziroma deležev","True"
"914000","k914","c_91","other","account.data_account_type_liability","Druga vplačila kapitala na podlagi statuta","True"
"915000","k915","c_91","other","account.data_account_type_liability","Zneski iz poenostavljenega zmanjšanja osnovnega kapitala in zneski zmanjšanja osnovnega kapitala z umikom delnic oziroma deležev","True"
"916000","k916","c_91","other","account.data_account_type_liability","Splošni prevrednotovalni popravek kapitala","True"
"917000","k917","c_91","other","account.data_account_type_liability","Zneski iz učinkov potrjene prisilne poravnave","True"
"92","c_92","capital","view","account.data_account_type_view","Rezerve iz dobička","False"
"920000","k920","c_92","other","account.data_account_type_liability","Zakonske rezerve","True"
