"code","id","parent_id/id","type","user_type/id","name","reconcile"
"031000","k031","c_03","other","account.data_account_type_asset","Oslabitev vrednosti zemljišč","True"
"032000","k032","c_03","other","account.data_account_type_asset","Popravek vrednosti zemljišč zaradi amortiziranja (kamnolomi, odlagališča odpadkov)","True"
"035000","k035","c_03","other","account.data_account_type_asset","Popravek vrednosti zgradb zaradi amortiziranja","True"
"039000","k039","c_03","other","account.data_account_type_asset","Oslabitev vrednosti zgradb","True"
"04","c_04","fix_assets","view","account.data_account_type_view","Oprema in druga opredmetena osnovna sredstva","False"
"040000","k040","c_04","other","account.data_account_type_asset","Oprema in nadomestni deli, vrednoteni po modelu nabavne vrednosti","True"
"041000","k041","c_04","other","account.data_account_type_asset","Drobni inventar","True"
"042000","k042","c_04","other","account.data_account_type_asset","Oprema in nadomestni deli, vrednoteni po modelu prevrednotenja","True"
"043000","k043","c_04","other","account.data_account_type_asset","Biološka sredstva – večletni nasadi","True"
"044000","k044","c_04","other","account.data_account_type_asset","Biološka sredstva – osnovna čreda","True"
"045000","k045","c_04","other","account.data_account_type_asset","Druga opredmetena osnovna sredstva","True"
"046000","k046","c_04","other","account.data_account_type_asset","Vlaganja v opredmetena osnovna sredstva v tuji lasti","True"
"047000","k047","c_04","other","account.data_account_type_asset","Oprema in druga opredmetena osnovna sredstva v gradnji oziroma izdelavi","True"
