"custom_rate","code","duty_free_tl","name","category_id:id","id"
"3.673","020641","0.0","Frozen edible livers of swine","categ_0206","hs_code_020641"
"3.673","020649","0.0","Edible offal of swine, frozen (excl. livers)","categ_0206","hs_code_020649"
"3.673","020680","50.0","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies","categ_0206","hs_code_020680"
"3.673","020690","0.0","Frozen edible offal of sheep, goats, horses, asses, mules and hinnies","categ_0206","hs_code_020690"
"3.673","020711","0.0","Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces","categ_0207","hs_code_020711"
"3.673","020712","0.0","Frozen fowls of the species Gallus domesticus, not cut in pieces","categ_0207","hs_code_020712"
"3.673","020713","0.0","Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus","categ_0207","hs_code_020713"
"3.673","020714","0.0","Frozen cuts and edible offal of fowls of the species Gallus domesticus","categ_0207","hs_code_020714"
"3.673","020724","0.0","Fresh or chilled turkeys of the species domesticus, not cut in pieces","categ_0207","hs_code_020724"
"3.673","020725","0.0","Frozen turkeys of the species domesticus, not cut into pieces","categ_0207","hs_code_020725"
"3.673","020726","0.0","Fresh or chilled cuts and edible offal of turkeys of the species domesticus","categ_0207","hs_code_020726"
"3.673","020727","0.0","Frozen cuts and edible offal of turkeys of the species domesticus","categ_0207","hs_code_020727"
"3.673","020741","0.0","Fresh or chilled domestic ducks, not cut in pieces","categ_0207","hs_code_020741"
"3.673","020742","0.0","Frozen domestic ducks, not cut in pieces","categ_0207","hs_code_020742"
"3.673","020743","0.0","Fatty livers of domestic ducks, fresh or chilled","categ_0207","hs_code_020743"
"3.673","020744","0.0","Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers)","categ_0207","hs_code_020744"
"3.673","020745","0.0","Frozen cuts and edible offal of domestic ducks","categ_0207","hs_code_020745"
"3.673","020751","0.0","Fresh or chilled domestic geese, not cut in pieces","categ_0207","hs_code_020751"
"3.673","020752","0.0","Frozen domestic geese, not cut in pieces","categ_0207","hs_code_020752"
"3.673","020753","0.0","Fatty livers of domestic geese, fresh or chilled","categ_0207","hs_code_020753"
"3.673","020754","0.0","Fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)","categ_0207","hs_code_020754"
"3.673","020755","0.0","Frozen cuts and edible offal of domestic geese","categ_0207","hs_code_020755"
"3.673","020760","0.0","Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen","categ_0207","hs_code_020760"
"3.673","020810","50.0","Fresh, chilled or frozen meat and edible offal of rabbits or hares","categ_0208","hs_code_020810"
"3.673","020830","0.0","Fresh, chilled or frozen meat and edible offal of primates","categ_0208","hs_code_020830"
"3.673","020840","0.0","Fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order Cetacea), of manatees and dugongs (mammals of the order Sirenia) and of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","categ_0208","hs_code_020840"
"3.673","020850","0.0","Fresh, chilled or frozen meat and edible offal of reptiles 'e.g. snakes, turtles, crocodiles'","categ_0208","hs_code_020850"
"3.673","020860","100.0","Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]","categ_0208","hs_code_020860"
"3.673","020890","0.0","Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry 'fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl', rabbits, hares, primates, whales, dolphins and porpoises 'mammals of the order Cetacea', manatees and dugongs 'mammals of the order Sirenia', seals, sea lions and walruses 'mammals of the suborder Pinnipedia' and reptiles)","categ_0208","hs_code_020890"
"3.673","020910","0.0","Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","categ_0209","hs_code_020910"
"3.673","020990","0.0","Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","categ_0209","hs_code_020990"
"3.673","021011","0.0","Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in","categ_0210","hs_code_021011"
"3.673","021012","0.0","Bellies 'streaky' and cuts thereof of swine, salted, in brine, dried or smoked","categ_0210","hs_code_021012"
"3.673","021019","0.0","Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)","categ_0210","hs_code_021019"
"3.673","021020","0.0","Meat of bovine animals, salted, in brine, dried or smoked","categ_0210","hs_code_021020"
"3.673","021091","0.0","Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of primates","categ_0210","hs_code_021091"
"3.673","021092","0.0","Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)","categ_0210","hs_code_021092"
"3.673","021093","0.0","Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of reptiles 'e.g. snakes, turtles, alligators'","categ_0210","hs_code_021093"
"3.673","021099","0.0","Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises 'mammals of the order Cetacea', manatees and dugongs 'mammals of the order Sirenia', seals, sea lions and walruses 'mammals of the suborder Pinnipedia' and reptiles)","categ_0210","hs_code_021099"
"3.673","030111","100.0","Live ornamental freshwater fish","categ_0301","hs_code_030111"
"3.673","030119","100.0","Live ornamental fish (excl. freshwater)","categ_0301","hs_code_030119"
"3.673","030191","100.0","Live trout 'Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster'","categ_0301","hs_code_030191"
"3.673","030192","100.0","Live eels 'Anguilla spp.'","categ_0301","hs_code_030192"
"3.673","030193","100.0","Live carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)","categ_0301","hs_code_030193"
"3.673","030194","100.0","Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","categ_0301","hs_code_030194"
"3.673","030195","100.0","Live southern bluefin tunas 'Thunnus maccoyii'","categ_0301","hs_code_030195"
"3.673","030199","100.0","Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], carp [Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus], Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis] and southern bluefin tuna [Thunnus maccoyii])","categ_0301","hs_code_030199"
"3.673","030211","100.0","Fresh or chilled trout 'Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster'","categ_0302","hs_code_030211"
