id,description,chart_template_id:id,name,sequence,amount,parent_id:id,child_depend,type,account_collected_id:id,account_paid_id:id,type_tax_use,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,price_include,base_sign,tax_sign
a1a,a1a,l10n_it_chart_template_generic,Acq.fuori campo IVA (art.1 DPR633),39,,,False,percent,,,purchase,template_impcode_pagata_a1,,template_impcode_pagata_a1,,1,1,False,-1,-1
a1v,a1v,l10n_it_chart_template_generic,Vend.fuori campo IVA (art.1 DPR633),40,,,False,percent,,,sale,template_impcode_riscossa_a1,,template_impcode_riscossa_a1,,-1,-1,False,1,1
a2a,a2a,l10n_it_chart_template_generic,Acq.Escluso IVA (art.2 DPR633),41,,,False,percent,,,purchase,template_impcode_pagata_a2,,template_impcode_pagata_a2,,1,1,False,-1,-1
a2v,a2v,l10n_it_chart_template_generic,Vend.Escluso IVA (art.2 DPR633),42,,,False,percent,,,sale,template_impcode_riscossa_a2,,template_impcode_riscossa_a2,,-1,-1,False,1,1
a7a,a7a,l10n_it_chart_template_generic,Acq.N.I. art.7 DPR633,43,,,False,percent,,,purchase,template_impcode_pagata_a7,,template_impcode_pagata_a7,,1,1,False,-1,-1
a7v,a7v,l10n_it_chart_template_generic,Vend.N.I. art.7 DPR633,44,,,False,percent,,,sale,template_impcode_riscossa_a7,,template_impcode_riscossa_a7,,-1,-1,False,1,1
a7ta,a7ta,l10n_it_chart_template_generic,Acq.NI art.7ter DPR633 (servizi xUE),45,,,False,percent,,,purchase,template_impcode_pagata_a7t,,template_impcode_pagata_a7t,,1,1,False,-1,-1
a7tv,a7tv,l10n_it_chart_template_generic,Vend.NI art.7ter DPR633 (servizi xUE),46,,,False,percent,,,sale,template_impcode_riscossa_a7t,,template_impcode_riscossa_a7t,,-1,-1,False,1,1
a8aa,a8aa,l10n_it_chart_template_generic,Acq.N.I. art.8a DPR633 (Dogana),47,,,False,percent,,,purchase,template_impcode_pagata_a8a,,template_impcode_pagata_a8a,,1,1,False,-1,-1
a8av,a8av,l10n_it_chart_template_generic,Vend.N.I. art.8a DPR633 (Dogana),48,,,False,percent,,,sale,template_impcode_riscossa_a8a,,template_impcode_riscossa_a8a,,-1,-1,False,1,1
a8c2a,a8c2a,l10n_it_chart_template_generic,Acq.N.I. art.8c2 DPR633 (lett.Intento),49,,,False,percent,,,purchase,template_impcode_pagata_a8c2,,template_impcode_pagata_a8c2,,1,1,False,-1,-1
